ID,source_time,lat,lon,source_spotted,track,takeoff_landing_time,battery,AoI,FLA
UAV2_7,4,52.815200718523315,-4.131799847628792,1,6,4,93.5,0,1
UAV2_8,5,52.815857448249176,-4.131774177829015,0,47,5,91.5,2,2
UAV2_9,6,52.818187817251705,-4.130889338015085,1,-47,6,89.5,0,2
UAV1_10,69,52.81549666889785,-4.132620289910606,1,-88,69,59.5,0,2
UAV1_11,70,52.81645671533199,-4.131180923511016,1,60,70,57.5,4,1
UAV1_12,71,52.815568577272586,-4.131180257636464,1,72,71,55.5,2,5
UAV1_13,72,52.81594150851881,-4.13259452361207,1,-20,72,53.5,3,2
UAV1_14,73,52.816435961141124,-4.132784042267749,1,-39,73,51.5,1,5
UAV1_15,74,52.81468525241402,-4.1306324644877375,1,-45,74,49.5,4,1
UAV1_16,75,52.815678734266044,-4.131699833870266,0,-24,75,47.5,2,5
UAV1_17,76,52.81506295248462,-4.131547625897841,1,59,76,45.5,2,2
UAV0_18,77,52.815472704100294,-4.1324307671261655,0,-80,77,58.5,2,5
UAV1_19,77,52.816036603823264,-4.130739343490338,1,15,77,43.5,1,4
UAV0_20,78,52.81653227911493,-4.132027610612811,0,-29,78,56.5,2,4
UAV0_21,80,52.81477549418275,-4.131024701473567,0,12,80,54.0,4,4
